"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"AACSP1",8.34390093280334,8.36310467772644,8.40777661862903,8.27845326854795,8.37971180913155,8.35572435679627,8.361892058787,8.44235585074201
"AADAC",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"AADACL2",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"AADACL3",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"AADACL4",8.27845326854795,8.27845326854795,8.35313480169255,8.35578674948867,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"AADAT",10.0750838910228,10.1170589480874,9.99433248194532,10.0258858316775,10.0783918948265,10.0123748324733,10.0665729452115,10.0884851469311
"AAGAB",11.7995016256505,11.6964070599493,11.4461326835522,11.3920976969623,11.4785055669954,11.7741341223161,11.7697976305751,11.7420022925443
"AAK1",11.0016379211347,11.0042197071546,11.0574359469653,10.9675561976354,11.0182974279278,11.0131040924942,11.138924993823,11.0055134321745
"AAMP",11.9360849944512,11.9258472094554,11.6603690706278,11.7279177674344,11.6549136478177,12.0417509845627,11.9764128958738,12.0032624328552
"AANAT",8.45152256520077,8.50222758659347,8.53684108836169,8.54599285622476,8.48084591216587,8.46761510186973,8.39643710307291,8.52863965071424
"AARS",12.0215569572362,12.0192843277967,12.1610108970391,12.1946221961915,12.0977861375894,12.0082567072574,11.9894491598963,12.0234436689214
"AARS2",11.7472028175999,11.7770742211757,11.2763699872771,11.2730935517486,11.2840080715248,11.4491835955932,11.4202155590299,11.4525077430358
"AARSD1",10.6414022137333,10.5666339164046,10.4852211791914,10.5143617843312,10.454395670863,10.3872464968781,10.4133739114625,10.343993746364
"AASDH",10.4170852063536,10.4196559712523,10.4157377438622,10.4306346994544,10.4740998744591,10.3249106144009,10.334520715411,10.3281540531402
"AASDHPPT",12.0108119559714,11.9663668186252,11.897055045951,11.8333722464125,11.9669376034764,12.2035724038673,12.1315521738617,12.1250614061179
"AASS",10.6551299143696,10.6727125718504,10.7330136266598,10.5913477106228,10.8481361361361,10.5183649291498,10.4899051583591,10.4351581455465
"AATF",11.7861459850349,11.7542975735548,11.5025026119274,11.4501161786999,11.4777224095833,11.75364242676,11.7155592755005,11.6793003097627
"AATK",9.26061889362925,9.45482922334357,9.65458789209234,9.69630569252089,9.66721725613173,9.50403760724145,9.59348811288376,9.62388932338127
"AATK-AS1",8.34390093280334,8.27845326854795,8.47590993996499,8.27845326854795,8.45376632177695,8.43294009761301,8.39643710307291,8.44235585074201
"ABAT",9.51453622557849,9.5285344407654,10.0426478231823,9.983126540996,9.93188297764101,9.75832138800539,9.76419025786749,9.8408784278262
"ABCA1",8.85272216080265,8.94969092484766,9.34412285047885,9.27576157137791,9.29972973171533,8.95476488029097,9.06475135386308,9.04441527773854
"ABCA10",8.63603958533568,8.65600191204626,8.61173493983211,8.56736031931909,8.56444595291442,8.6056243925568,8.76277123148034,8.73066948966941
"ABCA11P",9.37776517464643,9.38393011756782,9.40881619193915,9.36030598401768,9.44082350001628,9.43680285633845,9.38323700679812,9.36484184517323
"ABCA12",8.42474855575465,8.48565763894486,8.3840571201032,8.43306474893063,8.5262312981672,8.45115419405021,8.54198014846562,8.51012220830233
"ABCA13",8.52306389990675,8.54580023711269,8.35313480169255,8.38780624056042,8.42162510728935,8.41225875419899,8.42293325213942,8.4676778015632
"ABCA17P",8.51418608489962,8.55880916728914,8.54736198879469,8.59669990689592,8.50468885042904,8.62324027534493,8.56705256183009,8.51012220830233
"ABCA2",10.2216731811352,10.4005189037491,10.5587143431729,10.6861750236687,10.5423753058752,10.3502078617219,10.3852529939672,10.5065410764485
"ABCA3",10.4849705032134,10.4765747411878,10.3733455654678,10.5399217985582,10.3582860129994,10.2660957039374,10.3805063041054,10.3858131930823
"ABCA4",8.43869801098856,8.4250317910204,8.51438040398395,8.49700253993531,8.5262312981672,8.45115419405021,8.56705256183009,8.54586605069669
"ABCA5",10.5365989992718,10.5949949507263,10.5553851927005,10.5534140214248,10.6790173968083,10.7165933153659,10.7821627853907,10.7144815785998
"ABCA6",8.46345630676818,8.46763116467624,8.3840571201032,8.38780624056042,8.37971180913155,8.56712794831129,8.54198014846562,8.54586605069669
"ABCA7",9.76244810246592,9.89255122622362,9.77845742798902,9.8759021465044,9.83493975389487,9.80010831139885,9.75626037603173,9.81928998511046
"ABCA8",8.7011257076431,8.70026697212966,8.81396990661972,8.85342064595911,8.79216037101714,8.82169266916821,8.84087336918785,8.93552025834781
"ABCA9",8.50495736640109,8.51764391402919,8.47590993996499,8.43306474893063,8.37971180913155,8.5869862755646,8.70244113096573,8.65609459169092
"ABCB1",10.0732184900342,10.1335249103235,10.334460217306,10.2852075430521,10.3812400306036,10.4592556004396,10.4145325058933,10.3934112688553
"ABCB10",10.5274799562822,10.6873411931707,11.0046368795621,11.0400548677089,11.1540417437479,11.1947221044358,11.1544207042367,11.1442841385544
"ABCB11",8.34390093280334,8.27845326854795,8.35313480169255,8.35578674948867,8.42162510728935,8.35572435679627,8.39643710307291,8.37311638452787
"ABCB4",8.99116963994512,9.10521987300518,9.36541539064192,9.34248189678398,9.42481558626481,9.13992458031897,9.10971458530728,9.18623103424286
"ABCB5",8.34390093280334,8.4250317910204,8.47590993996499,8.43306474893063,8.42162510728935,8.41225875419899,8.51422424386503,8.4899749001705
"ABCB6",9.41935455718052,9.5285344407654,9.56709637615856,9.61576708325533,9.50976596069761,9.50403760724145,9.49648856489068,9.53641013796715
"ABCB7",11.0030180124967,10.9856478276319,11.0248212851745,11.0110007721691,11.0685441341173,10.8661724844961,10.8746896500495,10.8756826167293
"ABCB8",10.7290640752599,10.7227590553466,10.6369942576822,10.6492133555065,10.3812400306036,10.6551101190846,10.6049938995705,10.6734423445889
"ABCB9",9.46244697871178,9.43550301324577,9.4043413705944,9.37778990040323,9.252195450507,9.42981615763413,9.47331090838746,9.52054311399445
"ABCC1",11.2530642203129,11.3093188281765,11.2237577929849,11.233967278252,11.187205123307,11.1846386018029,11.2115215528584,11.2472365352911
"ABCC10",10.1288746525627,10.1687089579881,10.1199155550396,10.1247485891939,10.0191102200768,10.118426739724,10.1085601956853,10.1302050320744
"ABCC11",8.63005912537216,8.58314546465081,8.54736198879469,8.54599285622476,8.642653228158,8.61454984644252,8.59008991649621,8.54586605069669
"ABCC12",8.39179252052849,8.27845326854795,8.35313480169255,8.27845326854795,8.27845326854795,8.35572435679627,8.361892058787,8.27845326854795
"ABCC13",8.27845326854795,8.27845326854795,8.27845326854795,8.35578674948867,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"ABCC2",9.16430504692074,9.13737622895914,8.9646131435152,8.94238665225175,8.9590347634103,9.12340529155735,9.06052242504593,9.09299329479527
"ABCC3",8.40931495499487,8.36310467772644,8.40777661862903,8.35578674948867,8.42162510728935,8.38771803560254,8.42293325213942,8.41230313717093
"ABCC4",10.194888098271,10.2512160298583,10.2123378916476,10.1880928159692,10.2427832502347,10.2492642754373,10.2893829408884,10.3072657634841
"ABCC5",11.5644621985205,11.5235420200103,11.2851936110192,11.1881062208802,11.1996793161653,11.3493763195459,11.3191568455267,11.2608861207405
"ABCC6",8.99691786578558,9.03183577347365,9.07281522763227,9.0968445960889,9.13696753852111,8.92422426725327,8.96024097358156,9.04997873748549
"ABCC6P1",8.66997040866085,8.64649433343252,8.7309173888631,8.7652984134729,8.74059500951063,8.6056243925568,8.64124853265056,8.65609459169092
"ABCC6P2",8.42474855575465,8.48565763894486,8.54736198879469,8.51023214258812,8.56444595291442,8.45115419405021,8.44526117673638,8.4899749001705
"ABCC8",8.80325613209028,8.86700831880264,8.92834533287416,8.90192564731608,9.00798045063056,8.9331055999559,8.80334034607232,8.97386767960544
"ABCC9",8.37100230978434,8.46763116467624,8.46128297551143,8.51023214258812,8.37971180913155,8.35572435679627,8.46492425313929,8.44235585074201
"ABCD1",9.5640497596484,9.53359641297187,9.41104567426691,9.56391239011852,9.3134989882742,9.47769459634582,9.55578856122739,9.48472493772469
"ABCD2",8.63603958533568,8.6266840659207,8.9072294711772,8.88780274080532,8.86496091716605,8.82703427044403,8.80334034607232,8.90163381939465
"ABCD3",11.8979285390286,11.8458269091847,11.6682091873486,11.6516471841004,11.9207012672945,11.8840699869921,11.8943986429709,11.8316825583251
"ABCD4",10.8055449919107,10.7998768271807,10.7300916095148,10.7510215979998,10.6677973946936,10.8001503863919,10.7680345082912,10.8809507480682
"ABCE1",12.4269868013964,12.3387748278758,12.0492958784322,12.0102598078006,12.2162491652897,12.2429842882058,12.2766490373507,12.1686588243518
"ABCF1",12.8696551006302,12.8216925457511,12.4836399798264,12.4960002194932,12.3844241266784,12.7634918880923,12.6893366888716,12.715285103692
"ABCF2",12.3329253829222,12.2557129593923,11.695130284445,11.6584972399936,11.6340294962216,12.1126084618534,12.0754193357413,12.0229775658294
"ABCF3",10.8380847501146,10.7208682022131,10.4887319092511,10.5078936503383,10.4642848272005,10.5854454923879,10.5040406257989,10.5768900876387
"ABCG1",8.84171109830631,8.79074581564365,9.28218266854845,9.23312282175039,9.27628942500804,9.13335953413202,9.16699729430237,9.15797981957305
"ABCG2",9.32487881389618,9.350951045245,9.32964522558083,9.31903658342181,9.42884272790096,9.51695192070596,9.59810554851362,9.53641013796715
"ABCG4",9.08034459936133,9.15681012713166,9.25347521573718,9.34504967871094,9.30893302724236,9.15609766768874,9.28025883244701,9.23993899277316
"ABCG5",8.34390093280334,8.27845326854795,8.3840571201032,8.38780624056042,8.27845326854795,8.38771803560254,8.46492425313929,8.41230313717093
"ABCG8",8.27845326854795,8.36310467772644,8.40777661862903,8.45129350860342,8.37971180913155,8.35572435679627,8.39643710307291,8.37311638452787
"ABHD1",8.6753373222706,8.79074581564365,8.9406709036253,8.90655848115992,8.84767624875025,8.77089472370618,8.7336396671725,8.8429264084592
"ABHD10",11.5184940446175,11.5214207596026,11.3421685662536,11.3137239221809,11.5140683530119,11.4271359089222,11.4400203483689,11.3461264013574
"ABHD11",9.85808473835628,9.86311039610561,9.97603046832195,10.0905339581956,9.99789332497035,10.0789198957161,10.0119682950088,10.0749078506971
"ABHD11-AS1",8.37100230978434,8.39815127859716,8.3840571201032,8.27845326854795,8.27845326854795,8.38771803560254,8.27845326854795,8.51012220830233
"ABHD12",10.8484176579895,10.6912154049593,10.4860997417205,10.5143617843312,10.4527401872666,10.5338706222427,10.4888114944508,10.5023658374573
"ABHD12B",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"ABHD13",10.0401029937626,10.0678657013977,10.3055142274662,10.2562854012688,10.3312827107686,10.1083523356077,10.1188365186615,10.0025820376004
"ABHD14A",9.14823375270337,9.00871203959396,9.1054746542567,9.16633806443496,8.98046226015885,9.12673781940648,9.04335031819155,9.13363528186672
"ABHD14A-ACY1",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"ABHD14B",9.8502268385179,9.9440902297773,10.1992324330207,10.3432609549026,10.1048102198035,9.77857336842801,9.76616395233318,9.83372751490777
"ABHD15",9.92439577619469,9.96988975547593,9.96809999700822,10.0218136345614,9.9787134968906,9.9549234744036,9.8893657126197,9.92118935778679
"ABHD16A",10.0834431502498,10.0231321683911,9.92900379961932,9.91373454191986,9.89355074523845,9.93026328394649,9.88226382270193,9.88058116700047
"ABHD16B",8.34390093280334,8.39815127859716,8.3840571201032,8.35578674948867,8.27845326854795,8.38771803560254,8.39643710307291,8.37311638452787
"ABHD2",11.4840665489035,11.4940912768871,11.4135151765945,11.3396663349363,11.4291068814954,11.3317764787804,11.3203471179306,11.2870077375707
"ABHD3",10.2600100591464,10.2819739274344,10.1681092287229,10.1845245616853,10.3239850027068,10.2936620473156,10.31840387366,10.2694519537836
"ABHD4",10.0197908923344,9.95619987954998,10.0072361723626,9.97608469235296,9.85927790291503,9.93172823456958,9.8733249112387,9.91228647139348
"ABHD5",10.7700272798212,10.5824647130506,10.4459697681093,10.4345589452031,10.5577596489957,10.5383966931512,10.4975354339868,10.5009711431881
"ABHD6",9.49591032903735,9.47109341025825,9.59152336516509,9.59612755615341,9.56027243253877,9.50403760724145,9.4548975287125,9.47807121633599
"ABHD8",10.0149038883442,10.0050953962855,9.99562911575206,10.1482694983288,9.9665677171883,10.0892375558379,10.1491624868685,10.1487124887612
"ABI1",11.2469067180974,11.192228165152,10.9811141967315,10.96293705999,11.0345330554805,11.0003188488719,10.9812291127336,10.8586867102019
"ABI2",11.9801502992783,12.0569040346824,12.1704612887086,12.1452272197879,12.2031431182053,12.2360447227443,12.2543383503752,12.2591881323874
"ABI3",8.45152256520077,8.27845326854795,8.40777661862903,8.43306474893063,8.42162510728935,8.38771803560254,8.361892058787,8.41230313717093
"ABI3BP",8.6753373222706,8.70026697212966,8.83882023463406,8.87819161645442,9.00798045063056,8.74647613041164,8.67739513950751,8.76807239426832
"ABL1",11.8614687462348,11.8068858297349,11.5794826951914,11.6123298155286,11.5524761149091,11.7317076786764,11.7667658886533,11.7572541421196
"ABL2",10.9576789919002,11.0353791122484,11.548625361534,11.4003272493146,11.5216821288536,10.9011324452965,10.9720867610068,10.9842216676848
"ABLIM1",11.5449445452951,11.5938317070514,11.6147160016199,11.5684653807593,11.6347306210147,11.8741062428341,11.8398602795067,11.8565239900062
"ABLIM2",8.77448372622161,8.77684757531483,8.88533180465244,8.89254863624819,8.75137514571838,8.79975332110357,8.77667631894397,8.75900429510113
"ABLIM3",8.9080386393259,8.92338290024454,9.18721702113534,9.26459818672737,9.11408663309966,8.98389379960852,9.02574654094642,9.04997873748549
"ABO",8.34390093280334,8.39815127859716,8.35313480169255,8.38780624056042,8.27845326854795,8.43294009761301,8.39643710307291,8.41230313717093
"ABP1",8.37100230978434,8.27845326854795,8.40777661862903,8.35578674948867,8.37971180913155,8.27845326854795,8.39643710307291,8.41230313717093
"ABR",11.3813945048263,11.3620073287288,11.1901653314673,11.1637395507457,11.0790033202864,11.3795321818969,11.3221306323134,11.4307337402125
"ABRA",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"ABT1",11.5213518577279,11.4761209276904,11.1138299589077,11.1470618489846,10.9684106769238,11.3343043109654,11.3077985166899,11.2751947439227
"ABTB1",9.17334348817941,9.15681012713166,9.36072639242828,9.36533536016577,9.40028741704787,9.28051132265602,9.33322140178437,9.24426156752401
"ABTB2",10.4170852063536,10.3993134255482,10.2381464285679,10.2392946847193,10.1048102198035,10.1997334500316,10.1689757808046,10.2287563630294
"ACAA1",10.3962998648646,10.4742993563871,10.3771704246069,10.4788606135623,10.2849744305167,10.5275079638583,10.4386278498393,10.5435350476311
"ACAA2",10.4192165679528,10.450166158523,10.4222094636364,10.4892362129364,10.5189579100108,10.5365881240745,10.5094371717691,10.5065410764485
"ACACA",12.2995353188389,12.2034589720369,12.1089793198149,12.0308260997482,12.0608669263428,12.0445070066395,12.1258349359789,12.1097896479062
"ACACB",10.0149038883442,9.93711434026011,9.95073362254402,9.97042111722228,9.85927790291503,9.99306608607485,9.9763344000414,9.98169687834633
"ACAD10",10.1518544659653,10.1245706885549,10.0238065633452,10.0645601309681,9.97144090213236,9.84829681440268,9.82942664868095,9.86672389116696
"ACAD11",9.05974585113856,8.99923683953139,9.09582797843738,9.19432592412694,9.10238110528438,8.98389379960852,9.07729087346304,9.06641161626295
"ACAD8",10.270412192429,10.2266128555484,10.1105191636712,10.1159689838808,10.0938716407062,10.1469412888881,10.1202975991109,10.1813469823062
"ACAD9",11.2672003395043,11.26225001082,11.0088167136543,11.0218095453019,11.0420448322866,11.2654595630833,11.2204954446199,11.2358946473112
"ACADL",9.10775107167707,9.0673037756007,9.06946746302009,9.02012470712766,9.08446966903378,9.19969574018849,9.20650279898894,9.14833338448823
"ACADM",11.5098857025317,11.5288312607275,11.3695803136982,11.3193601189674,11.4540228883228,11.2802373668785,11.3380809174143,11.2712347970277
"ACADS",9.23392804904594,9.38393011756782,9.4941914094079,9.51360573960973,9.47206433753751,9.37198507708122,9.33019185032893,9.39079508487169
"ACADSB",10.9029023770675,10.9291904099236,10.6196389817329,10.6197430247162,10.6845924291006,10.8193429140507,10.8573454404651,10.7963554277467
"ACADVL",10.7069646011625,10.8686123818133,11.0671864441935,11.1897904088137,11.1736452089511,10.6139200393803,10.5642911194122,10.7623634053735
"ACAN",8.60502199438966,8.55880916728914,8.76025685899005,8.6935236425249,8.77220535929352,8.52254387483812,8.57879538115464,8.52863965071424
"ACAP1",8.43869801098856,8.4250317910204,8.48951984340902,8.49700253993531,8.50468885042904,8.52254387483812,8.39643710307291,8.44235585074201
"ACAP2",11.3249135227881,11.2881770061527,11.2555623276005,11.186419993481,11.3592851442641,11.2681099405072,11.3292420711351,11.219530359146
"ACAP3",10.6390003453852,10.6883107935207,10.6060717951991,10.6358217711328,10.5699398005941,10.4914857014601,10.502958657557,10.6474533275559
"ACAT1",11.4292715656761,11.4859513326082,11.5445679965505,11.4782523064441,11.511776183546,11.5279285037822,11.5150130243658,11.5245158009411
"ACAT2",11.6012087463072,11.5796434026778,11.606184136971,11.6210243139978,11.5502455322397,11.6363390193239,11.5773262945357,11.5675622712735
"ACBD3",12.047413811283,12.0080282714841,11.9505455029582,11.9328688261443,12.0891547889334,11.9285613585025,11.9617449581326,11.8881314192069
"ACBD4",9.66183578452468,9.7597989518397,10.0550478761015,10.0879612467898,9.89614568681514,9.91551251227285,9.8893657126197,9.94750070793016
"ACBD5",10.9628962945958,10.9283784211219,10.8749113637245,10.8543094202076,10.9398936224555,11.0351969999703,11.0630393492974,11.0554965433246
"ACBD6",10.6122908408713,10.6379454565902,10.6937731807288,10.7300121358508,10.7720949572348,10.779928301753,10.770694808267,10.726317621096
"ACBD7",9.92861531313769,9.98845999230238,9.86708270961567,9.88050751824058,9.90646811542894,10.1457150787518,10.0711410998596,10.0392846114869
"ACCN1",8.34390093280334,8.36310467772644,8.27845326854795,8.35578674948867,8.27845326854795,8.27845326854795,8.361892058787,8.41230313717093
"ACCN2",10.1906508162728,10.3210086347999,10.6710436156253,10.8158468142498,10.6450717173254,10.2560236770066,10.2868279407482,10.3169488408537
"ACCN3",8.8913195779229,9.00871203959396,8.98008842895715,9.13403045336249,8.98046226015885,8.9060594526069,8.93513672219,8.99221368788815
"ACCN4",8.79520570650362,8.77684757531483,8.54736198879469,8.61482007072406,8.27845326854795,8.56712794831129,8.65976031465018,8.64416773886154
"ACCN5",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"ACCS",8.99691786578558,8.94969092484766,9.26664317259945,9.18200750144563,9.26191457605595,9.1200580860543,9.18878567303221,9.20452702305614
"ACCSL",8.27845326854795,8.36310467772644,8.35313480169255,8.27845326854795,8.27845326854795,8.27845326854795,8.361892058787,8.27845326854795
"ACD",9.76366459846914,9.79397412440559,9.80470979565518,9.90176119938396,9.676711801823,9.98048697850189,9.92767184861533,9.93222389875223
"ACE",9.11019312646112,9.12547658115177,9.50030366048692,9.47414817674722,9.40028741704787,9.20573564848032,9.09772174833701,9.08247671254087
"ACE2",8.69100901516224,8.66527070308328,8.7309173888631,8.74053207885569,8.69459447386857,8.72725919705989,8.65062208019359,8.66764808200349
"ACER1",8.37100230978434,8.27845326854795,8.27845326854795,8.35578674948867,8.27845326854795,8.27845326854795,8.361892058787,8.37311638452787
"ACER2",8.98537090015796,8.95482136130988,9.11183717167489,9.0757502519817,9.09048862143626,8.9331055999559,8.98439018895149,8.98004049515572
"ACER3",10.4099553413484,10.4196559712523,10.4240526326448,10.4048347599347,10.5078859426112,10.414346362027,10.4734037832347,10.3611951604144
"ACHE",8.99404999041487,8.97493827344839,9.28730113175462,9.25896154302137,9.20183709812978,8.75270298833331,8.7901892487588,8.81101584221311
"ACIN1",13.1632257546805,13.0724089869881,12.7047522273761,12.6382446231693,12.540873888872,12.7901015823343,12.7693913524419,12.8436437171099
"ACLY",13.9434442064742,13.9344153994068,13.6929019798405,13.6843317380322,13.6059333735494,13.8429459916967,13.7879765160768,13.8438202169144
"ACMSD",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795
"ACN9",10.2862511384225,10.1972888429496,10.2434574212228,10.2618987196862,10.2774067702574,10.1530542430009,10.1619357530771,10.076856714771
"ACO1",10.3955771608229,10.3613761045992,10.36662470696,10.3102564812436,10.3618440619133,10.5082338370504,10.5445111531909,10.4613062222841
"ACO2",11.5153118920044,11.4794053557124,11.187023266092,11.2571466856412,11.1109337675836,11.3508746479212,11.3421867152608,11.322624608377
"ACOT1",8.90473271374248,8.88450475583586,8.8578972538747,8.89254863624819,8.85638662438497,8.91065272609458,8.7901892487588,8.83512846582327
"ACOT11",8.96164478738722,8.90703357981786,8.92418097160176,9.04663141115977,8.89800916429296,8.97157117902863,9.03018961023245,9.04441527773854
"ACOT12",8.40931495499487,8.27845326854795,8.42776636339124,8.38780624056042,8.42162510728935,8.35572435679627,8.42293325213942,8.27845326854795
"ACOT13",10.6305596631758,10.5866545905459,10.5866798135764,10.6299205152394,10.6321169092676,10.567886740515,10.5413608103268,10.586081191125
"ACOT2",9.72279946519567,9.70541066620341,9.6062747942027,9.68906308597103,9.52080338642733,9.62636125930578,9.59117169775261,9.66642658729936
"ACOT4",8.37100230978434,8.36310467772644,8.35313480169255,8.27845326854795,8.27845326854795,8.35572435679627,8.39643710307291,8.27845326854795
"ACOT6",8.27845326854795,8.27845326854795,8.27845326854795,8.38780624056042,8.37971180913155,8.27845326854795,8.27845326854795,8.41230313717093
"ACOT7",10.8904820262319,10.857537159492,10.8866921505169,10.917921053174,10.7404431310977,11.1653903695072,11.1443344282216,11.1267996351768
"ACOT8",9.77695940031184,9.7618383970403,9.79088768211871,9.88814275920616,9.73797412684267,9.83564420472014,9.82569145494865,9.78237166598942
"ACOT9",9.99515485609276,10.0741239753813,10.2613499383997,10.2562854012688,10.2602131036207,10.1567076343406,10.1731807953963,10.1813469823062
"ACOX1",11.0916138682231,11.0488397683913,10.9701205005045,10.9436334713048,11.0495159839237,11.0740950557338,11.1577665968976,11.0839153531268
"ACOX2",8.46345630676818,8.54580023711269,8.55748207812902,8.62351742147898,8.642653228158,8.52254387483812,8.52849147195831,8.51012220830233
"ACOX3",9.62380474984951,9.5511169203021,9.54402173760544,9.55569881413331,9.49109465561266,9.62250799594274,9.60040662512335,9.51733949637856
"ACOXL",8.79113104863206,8.78384641098444,9.03860879594139,9.0793085155461,9.04087068350578,9.14966872172382,9.20299011307363,9.21352321421017
"ACP1",11.8906131269763,11.8420227684313,11.7712267024022,11.7522053729131,11.836901273737,11.9027772905825,11.8704170584393,11.8886437700755
"ACP2",10.2933149237707,10.2224653135486,10.0685434904413,10.0671825060035,10.0399601520626,10.3831831064955,10.2791320620605,10.3233638017681
"ACP5",8.42474855575465,8.4250317910204,8.3840571201032,8.45129350860342,8.37971180913155,8.41225875419899,8.39643710307291,8.4899749001705
"ACP6",10.0694791180388,10.1527064987041,10.1292409516052,10.1833328784962,10.1091585486706,10.0567012443748,10.0772055065228,10.0392846114869
"ACPL2",10.0908259839787,10.1424148260814,10.283109851858,10.3703037647399,10.3706965131596,10.3407796220606,10.3071261637671,10.3534047869463
"ACPP",8.8913195779229,8.84894518915751,9.1398245404553,9.00054234495723,9.1082567371806,9.10992661124698,9.07729087346304,9.08247671254087
"ACPT",8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.27845326854795,8.38771803560254,8.361892058787,8.37311638452787
"ACR",8.40931495499487,8.36310467772644,8.35313480169255,8.41236674406694,8.37971180913155,8.38771803560254,8.361892058787,8.41230313717093
"ACRBP",8.5778602623323,8.59460231797566,8.44537178269597,8.52274054396065,8.48084591216587,8.51004549934405,8.55480430928775,8.57732331742138
"ACRC",9.42779314502288,9.3167321359204,8.9646131435152,9.02780231569789,8.95172929845288,8.96322340586708,8.9748386344985,8.99221368788815
"ACRV1",8.27845326854795,8.39815127859716,8.27845326854795,8.27845326854795,8.37971180913155,8.35572435679627,8.39643710307291,8.37311638452787
"ACSBG1",8.86706685155595,8.77684757531483,8.5258682454013,8.56736031931909,8.54602949856882,8.62324027534493,8.61151482691511,8.44235585074201
"ACSBG2",8.37100230978434,8.39815127859716,8.27845326854795,8.38780624056042,8.42162510728935,8.27845326854795,8.27845326854795,8.27845326854795
"ACSF2",9.59577696071762,9.66832955537168,9.97997600259237,10.0750159838345,9.94438743953643,9.65482300212699,9.67580162510098,9.64678694079325
"ACSF3",9.84458098656141,9.87976274266025,9.69577267803737,9.68542358141186,9.69545431985011,9.77017956687855,9.76023236771192,9.78985250496899
"ACSL1",10.9073462508225,10.9525314529155,11.0206897488567,11.0026776904277,11.0935147001803,10.9737321567299,11.0326516601795,11.0141297566139
"ACSL3",11.5635388769181,11.6286918945084,11.9134394819359,11.9054332979358,12.0891547889334,11.9723488586662,12.0016322874397,12.0032624328552
"ACSL4",11.9920389029133,12.112938338066,12.5726976311599,12.5439179356824,12.7422628542465,12.1166861680984,12.1482362114082,12.0616089622505
"ACSL5",8.73008052814264,8.57123374212071,8.46128297551143,8.38780624056042,8.48084591216587,8.54577756939878,8.44526117673638,8.52863965071424
